;file_name;band;sensor;date;patch_type;EID
0;KG0002__CDEM__None__DEM;DEM;CDEM;;None;KG0002
1;KG0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;KG0002
2;KG0002__None__None__MASK;MASK;None;;None;KG0002
3;KG0002__S1SLC__2017-03-18_2017-03-30__ASC_COHVV;COHVV;S1SLC;30.03.2017;PRE2;KG0002
4;KG0002__S1SLC__2017-03-18__ASC_ALPHA;ALPHA;S1SLC;18.03.2017;PRE3;KG0002
5;KG0002__S1SLC__2017-03-18__ASC_ANISOTROPY;ANISOTROPY;S1SLC;18.03.2017;PRE3;KG0002
6;KG0002__S1SLC__2017-03-18__ASC_ENTROPY;ENTROPY;S1SLC;18.03.2017;PRE3;KG0002
7;KG0002__S1SLC__2017-03-18__ASC_gVH;gVH;S1SLC;18.03.2017;PRE3;KG0002
8;KG0002__S1SLC__2017-03-18__ASC_gVV;gVV;S1SLC;18.03.2017;PRE3;KG0002
9;KG0002__S1SLC__2017-03-30_2017-04-11__ASC_COHVV;COHVV;S1SLC;11.04.2017;PRE1;KG0002
10;KG0002__S1SLC__2017-03-30__ASC_ALPHA;ALPHA;S1SLC;30.03.2017;PRE2;KG0002
11;KG0002__S1SLC__2017-03-30__ASC_ANISOTROPY;ANISOTROPY;S1SLC;30.03.2017;PRE2;KG0002
12;KG0002__S1SLC__2017-03-30__ASC_ENTROPY;ENTROPY;S1SLC;30.03.2017;PRE2;KG0002
13;KG0002__S1SLC__2017-03-30__ASC_gVH;gVH;S1SLC;30.03.2017;PRE2;KG0002
14;KG0002__S1SLC__2017-03-30__ASC_gVV;gVV;S1SLC;30.03.2017;PRE2;KG0002
15;KG0002__S1SLC__2017-04-11_2017-04-23__ASC_COHVV;COHVV;S1SLC;23.04.2017;POST1;KG0002
16;KG0002__S1SLC__2017-04-11__ASC_ALPHA;ALPHA;S1SLC;11.04.2017;PRE1;KG0002
17;KG0002__S1SLC__2017-04-11__ASC_ANISOTROPY;ANISOTROPY;S1SLC;11.04.2017;PRE1;KG0002
18;KG0002__S1SLC__2017-04-11__ASC_ENTROPY;ENTROPY;S1SLC;11.04.2017;PRE1;KG0002
