;file_name;band;sensor;date;patch_type;EID
0;CN0001__CDEM__None__DEM;DEM;CDEM;;None;CN0001
1;CN0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;CN0001
2;CN0001__None__None__MASK;MASK;None;;None;CN0001
3;CN0001__S1SLC__2017-05-26_2017-06-07__DES_COHVV;COHVV;S1SLC;07.06.2017;PRE2;CN0001
4;CN0001__S1SLC__2017-05-26__DES_ALPHA;ALPHA;S1SLC;26.05.2017;PRE3;CN0001
5;CN0001__S1SLC__2017-05-26__DES_ANISOTROPY;ANISOTROPY;S1SLC;26.05.2017;PRE3;CN0001
6;CN0001__S1SLC__2017-05-26__DES_ENTROPY;ENTROPY;S1SLC;26.05.2017;PRE3;CN0001
7;CN0001__S1SLC__2017-05-26__DES_gVH;gVH;S1SLC;26.05.2017;PRE3;CN0001
8;CN0001__S1SLC__2017-05-26__DES_gVV;gVV;S1SLC;26.05.2017;PRE3;CN0001
9;CN0001__S1SLC__2017-06-07_2017-06-19__DES_COHVV;COHVV;S1SLC;19.06.2017;PRE1;CN0001
10;CN0001__S1SLC__2017-06-07__DES_ALPHA;ALPHA;S1SLC;07.06.2017;PRE2;CN0001
11;CN0001__S1SLC__2017-06-07__DES_ANISOTROPY;ANISOTROPY;S1SLC;07.06.2017;PRE2;CN0001
12;CN0001__S1SLC__2017-06-07__DES_ENTROPY;ENTROPY;S1SLC;07.06.2017;PRE2;CN0001
13;CN0001__S1SLC__2017-06-07__DES_gVH;gVH;S1SLC;07.06.2017;PRE2;CN0001
14;CN0001__S1SLC__2017-06-07__DES_gVV;gVV;S1SLC;07.06.2017;PRE2;CN0001
15;CN0001__S1SLC__2017-06-19_2017-07-13__DES_COHVV;COHVV;S1SLC;13.07.2017;POST1;CN0001
16;CN0001__S1SLC__2017-06-19__DES_ALPHA;ALPHA;S1SLC;19.06.2017;PRE1;CN0001
17;CN0001__S1SLC__2017-06-19__DES_ANISOTROPY;ANISOTROPY;S1SLC;19.06.2017;PRE1;CN0001
18;CN0001__S1SLC__2017-06-19__DES_ENTROPY;ENTROPY;S1SLC;19.06.2017;PRE1;CN0001
19;CN0001__S1SLC__2017-06-19__DES_gVH;gVH;S1SLC;19.06.2017;PRE1;CN0001
20;CN0001__S1SLC__2017-06-19__DES_gVV;gVV;S1SLC;19.06.2017;PRE1;CN0001
21;CN0001__S1SLC__2017-07-13_2017-07-25__DES_COHVV;COHVV;S1SLC;25.07.2017;POST2;CN0001
22;CN0001__S1SLC__2017-07-13__DES_ALPHA;ALPHA;S1SLC;13.07.2017;POST1;CN0001
