;file_name;band;sensor;date;patch_type;EID
0;IN0004__CDEM__None__DEM;DEM;CDEM;;None;IN0004
1;IN0004__CDEM__None__SLOPE;SLOPE;CDEM;;None;IN0004
2;IN0004__None__None__MASK;MASK;None;;None;IN0004
3;IN0004__S1SLC__2022-05-30_2022-06-11__ASC_COHVV;COHVV;S1SLC;11.06.2022;PRE2;IN0004
4;IN0004__S1SLC__2022-05-30__ASC_ALPHA;ALPHA;S1SLC;30.05.2022;PRE3;IN0004
5;IN0004__S1SLC__2022-05-30__ASC_ANISOTROPY;ANISOTROPY;S1SLC;30.05.2022;PRE3;IN0004
6;IN0004__S1SLC__2022-05-30__ASC_ENTROPY;ENTROPY;S1SLC;30.05.2022;PRE3;IN0004
7;IN0004__S1SLC__2022-05-30__ASC_gVH;gVH;S1SLC;30.05.2022;PRE3;IN0004
8;IN0004__S1SLC__2022-05-30__ASC_gVV;gVV;S1SLC;30.05.2022;PRE3;IN0004
9;IN0004__S1SLC__2022-06-11_2022-06-23__ASC_COHVV;COHVV;S1SLC;23.06.2022;PRE1;IN0004
10;IN0004__S1SLC__2022-06-11__ASC_ALPHA;ALPHA;S1SLC;11.06.2022;PRE2;IN0004
11;IN0004__S1SLC__2022-06-11__ASC_ANISOTROPY;ANISOTROPY;S1SLC;11.06.2022;PRE2;IN0004
12;IN0004__S1SLC__2022-06-11__ASC_ENTROPY;ENTROPY;S1SLC;11.06.2022;PRE2;IN0004
13;IN0004__S1SLC__2022-06-11__ASC_gVH;gVH;S1SLC;11.06.2022;PRE2;IN0004
14;IN0004__S1SLC__2022-06-11__ASC_gVV;gVV;S1SLC;11.06.2022;PRE2;IN0004
15;IN0004__S1SLC__2022-06-23_2022-07-05__ASC_COHVV;COHVV;S1SLC;05.07.2022;POST1;IN0004
16;IN0004__S1SLC__2022-06-23__ASC_ALPHA;ALPHA;S1SLC;23.06.2022;PRE1;IN0004
