;file_name;band;sensor;date;patch_type;EID
0;IN0003__CDEM__None__DEM;DEM;CDEM;;None;IN0003
1;IN0003__CDEM__None__SLOPE;SLOPE;CDEM;;None;IN0003
2;IN0003__None__None__MASK;MASK;None;;None;IN0003
3;IN0003__S1SLC__2020-07-05_2020-07-17__DES_COHVV;COHVV;S1SLC;17.07.2020;PRE2;IN0003
4;IN0003__S1SLC__2020-07-05__DES_ALPHA;ALPHA;S1SLC;05.07.2020;PRE3;IN0003
5;IN0003__S1SLC__2020-07-05__DES_ANISOTROPY;ANISOTROPY;S1SLC;05.07.2020;PRE3;IN0003
6;IN0003__S1SLC__2020-07-05__DES_ENTROPY;ENTROPY;S1SLC;05.07.2020;PRE3;IN0003
7;IN0003__S1SLC__2020-07-05__DES_gVH;gVH;S1SLC;05.07.2020;PRE3;IN0003
8;IN0003__S1SLC__2020-07-05__DES_gVV;gVV;S1SLC;05.07.2020;PRE3;IN0003
9;IN0003__S1SLC__2020-07-17_2020-07-29__DES_COHVV;COHVV;S1SLC;29.07.2020;PRE1;IN0003
10;IN0003__S1SLC__2020-07-17__DES_ALPHA;ALPHA;S1SLC;17.07.2020;PRE2;IN0003
11;IN0003__S1SLC__2020-07-17__DES_ANISOTROPY;ANISOTROPY;S1SLC;17.07.2020;PRE2;IN0003
12;IN0003__S1SLC__2020-07-17__DES_ENTROPY;ENTROPY;S1SLC;17.07.2020;PRE2;IN0003
13;IN0003__S1SLC__2020-07-17__DES_gVH;gVH;S1SLC;17.07.2020;PRE2;IN0003
14;IN0003__S1SLC__2020-07-17__DES_gVV;gVV;S1SLC;17.07.2020;PRE2;IN0003
15;IN0003__S1SLC__2020-07-29_2020-08-10__DES_COHVV;COHVV;S1SLC;10.08.2020;POST1;IN0003
16;IN0003__S1SLC__2020-07-29__DES_ALPHA;ALPHA;S1SLC;29.07.2020;PRE1;IN0003
17;IN0003__S1SLC__2020-07-29__DES_ANISOTROPY;ANISOTROPY;S1SLC;29.07.2020;PRE1;IN0003
18;IN0003__S1SLC__2020-07-29__DES_ENTROPY;ENTROPY;S1SLC;29.07.2020;PRE1;IN0003
19;IN0003__S1SLC__2020-07-29__DES_gVH;gVH;S1SLC;29.07.2020;PRE1;IN0003
20;IN0003__S1SLC__2020-07-29__DES_gVV;gVV;S1SLC;29.07.2020;PRE1;IN0003
21;IN0003__S1SLC__2020-08-10_2020-08-22__DES_COHVV;COHVV;S1SLC;22.08.2020;POST2;IN0003
22;IN0003__S1SLC__2020-08-10__DES_ALPHA;ALPHA;S1SLC;10.08.2020;POST1;IN0003
23;IN0003__S1SLC__2020-08-10__DES_ANISOTROPY;ANISOTROPY;S1SLC;10.08.2020;POST1;IN0003
24;IN0003__S1SLC__2020-08-10__DES_ENTROPY;ENTROPY;S1SLC;10.08.2020;POST1;IN0003
25;IN0003__S1SLC__2020-08-10__DES_gVH;gVH;S1SLC;10.08.2020;POST1;IN0003
26;IN0003__S1SLC__2020-08-10__DES_gVV;gVV;S1SLC;10.08.2020;POST1;IN0003
27;IN0003__S1SLC__2020-08-22_2020-09-03__DES_COHVV;COHVV;S1SLC;03.09.2020;POST3;IN0003
28;IN0003__S1SLC__2020-08-22__DES_ALPHA;ALPHA;S1SLC;22.08.2020;POST2;IN0003
29;IN0003__S1SLC__2020-08-22__DES_ANISOTROPY;ANISOTROPY;S1SLC;22.08.2020;POST2;IN0003
30;IN0003__S1SLC__2020-08-22__DES_ENTROPY;ENTROPY;S1SLC;22.08.2020;POST2;IN0003
31;IN0003__S1SLC__2020-08-22__DES_gVH;gVH;S1SLC;22.08.2020;POST2;IN0003
32;IN0003__S1SLC__2020-08-22__DES_gVV;gVV;S1SLC;22.08.2020;POST2;IN0003
33;IN0003__S1SLC__2020-09-03__DES_ALPHA;ALPHA;S1SLC;03.09.2020;POST3;IN0003
34;IN0003__S1SLC__2020-09-03__DES_ANISOTROPY;ANISOTROPY;S1SLC;03.09.2020;POST3;IN0003
35;IN0003__S1SLC__2020-09-03__DES_ENTROPY;ENTROPY;S1SLC;03.09.2020;POST3;IN0003
36;IN0003__S1SLC__2020-09-03__DES_gVH;gVH;S1SLC;03.09.2020;POST3;IN0003
37;IN0003__S1SLC__2020-09-03__DES_gVV;gVV;S1SLC;03.09.2020;POST3;IN0003
38;IN0003__S2L2A__2020-04-18__B02;B02;S2L2A;18.04.2020;PRE1;IN0003
39;IN0003__S2L2A__2020-04-18__B03;B03;S2L2A;18.04.2020;PRE1;IN0003
40;IN0003__S2L2A__2020-04-18__B04;B04;S2L2A;18.04.2020;PRE1;IN0003
41;IN0003__S2L2A__2020-04-18__B05;B05;S2L2A;18.04.2020;PRE1;IN0003
42;IN0003__S2L2A__2020-04-18__B06;B06;S2L2A;18.04.2020;PRE1;IN0003
43;IN0003__S2L2A__2020-04-18__B07;B07;S2L2A;18.04.2020;PRE1;IN0003
44;IN0003__S2L2A__2020-04-18__B08;B08;S2L2A;18.04.2020;PRE1;IN0003
45;IN0003__S2L2A__2020-04-18__B11;B11;S2L2A;18.04.2020;PRE1;IN0003
46;IN0003__S2L2A__2020-04-18__B12;B12;S2L2A;18.04.2020;PRE1;IN0003
47;IN0003__S2L2A__2020-04-18__B8A;B8A;S2L2A;18.04.2020;PRE1;IN0003
48;IN0003__S2L2A__2020-04-18__NDVI;NDVI;S2L2A;18.04.2020;PRE1;IN0003
49;IN0003__S2L2A__2020-10-05__B02;B02;S2L2A;05.10.2020;POST1;IN0003
50;IN0003__S2L2A__2020-10-05__B03;B03;S2L2A;05.10.2020;POST1;IN0003
51;IN0003__S2L2A__2020-10-05__B04;B04;S2L2A;05.10.2020;POST1;IN0003
52;IN0003__S2L2A__2020-10-05__B05;B05;S2L2A;05.10.2020;POST1;IN0003
53;IN0003__S2L2A__2020-10-05__B06;B06;S2L2A;05.10.2020;POST1;IN0003
54;IN0003__S2L2A__2020-10-05__B07;B07;S2L2A;05.10.2020;POST1;IN0003
55;IN0003__S2L2A__2020-10-05__B08;B08;S2L2A;05.10.2020;POST1;IN0003
56;IN0003__S2L2A__2020-10-05__B11;B11;S2L2A;05.10.2020;POST1;IN0003
57;IN0003__S2L2A__2020-10-05__B12;B12;S2L2A;05.10.2020;POST1;IN0003
58;IN0003__S2L2A__2020-10-05__B8A;B8A;S2L2A;05.10.2020;POST1;IN0003
59;IN0003__S2L2A__2020-10-05__NDVI;NDVI;S2L2A;05.10.2020;POST1;IN0003
