;file_name;band;sensor;date;patch_type;EID
0;PH0001__CDEM__None__DEM;DEM;CDEM;;None;PH0001
1;PH0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;PH0001
2;PH0001__None__None__MASK;MASK;None;;None;PH0001
3;PH0001__S1SLC__2022-03-13_2022-03-25__DES_COHVV;COHVV;S1SLC;25.03.2022;PRE2;PH0001
4;PH0001__S1SLC__2022-03-13__DES_ALPHA;ALPHA;S1SLC;13.03.2022;PRE3;PH0001
5;PH0001__S1SLC__2022-03-13__DES_ANISOTROPY;ANISOTROPY;S1SLC;13.03.2022;PRE3;PH0001
6;PH0001__S1SLC__2022-03-13__DES_ENTROPY;ENTROPY;S1SLC;13.03.2022;PRE3;PH0001
7;PH0001__S1SLC__2022-03-13__DES_gVH;gVH;S1SLC;13.03.2022;PRE3;PH0001
8;PH0001__S1SLC__2022-03-13__DES_gVV;gVV;S1SLC;13.03.2022;PRE3;PH0001
9;PH0001__S1SLC__2022-03-25_2022-04-06__DES_COHVV;COHVV;S1SLC;06.04.2022;PRE1;PH0001
10;PH0001__S1SLC__2022-03-25__DES_ALPHA;ALPHA;S1SLC;25.03.2022;PRE2;PH0001
11;PH0001__S1SLC__2022-03-25__DES_ANISOTROPY;ANISOTROPY;S1SLC;25.03.2022;PRE2;PH0001
12;PH0001__S1SLC__2022-03-25__DES_ENTROPY;ENTROPY;S1SLC;25.03.2022;PRE2;PH0001
13;PH0001__S1SLC__2022-03-25__DES_gVH;gVH;S1SLC;25.03.2022;PRE2;PH0001
14;PH0001__S1SLC__2022-03-25__DES_gVV;gVV;S1SLC;25.03.2022;PRE2;PH0001
15;PH0001__S1SLC__2022-04-06_2022-04-18__DES_COHVV;COHVV;S1SLC;18.04.2022;POST1;PH0001
16;PH0001__S1SLC__2022-04-06__DES_ALPHA;ALPHA;S1SLC;06.04.2022;PRE1;PH0001
17;PH0001__S1SLC__2022-04-06__DES_ANISOTROPY;ANISOTROPY;S1SLC;06.04.2022;PRE1;PH0001
18;PH0001__S1SLC__2022-04-06__DES_ENTROPY;ENTROPY;S1SLC;06.04.2022;PRE1;PH0001
19;PH0001__S1SLC__2022-04-06__DES_gVH;gVH;S1SLC;06.04.2022;PRE1;PH0001
20;PH0001__S1SLC__2022-04-06__DES_gVV;gVV;S1SLC;06.04.2022;PRE1;PH0001
21;PH0001__S1SLC__2022-04-18_2022-04-30__DES_COHVV;COHVV;S1SLC;30.04.2022;POST2;PH0001
22;PH0001__S1SLC__2022-04-18__DES_ALPHA;ALPHA;S1SLC;18.04.2022;POST1;PH0001
23;PH0001__S1SLC__2022-04-18__DES_ANISOTROPY;ANISOTROPY;S1SLC;18.04.2022;POST1;PH0001
24;PH0001__S1SLC__2022-04-18__DES_ENTROPY;ENTROPY;S1SLC;18.04.2022;POST1;PH0001
25;PH0001__S1SLC__2022-04-18__DES_gVH;gVH;S1SLC;18.04.2022;POST1;PH0001
26;PH0001__S1SLC__2022-04-18__DES_gVV;gVV;S1SLC;18.04.2022;POST1;PH0001
27;PH0001__S1SLC__2022-04-30_2022-05-12__DES_COHVV;COHVV;S1SLC;12.05.2022;POST3;PH0001
28;PH0001__S1SLC__2022-04-30__DES_ALPHA;ALPHA;S1SLC;30.04.2022;POST2;PH0001
29;PH0001__S1SLC__2022-04-30__DES_ANISOTROPY;ANISOTROPY;S1SLC;30.04.2022;POST2;PH0001
30;PH0001__S1SLC__2022-04-30__DES_ENTROPY;ENTROPY;S1SLC;30.04.2022;POST2;PH0001
31;PH0001__S1SLC__2022-04-30__DES_gVH;gVH;S1SLC;30.04.2022;POST2;PH0001
32;PH0001__S1SLC__2022-04-30__DES_gVV;gVV;S1SLC;30.04.2022;POST2;PH0001
33;PH0001__S1SLC__2022-05-12__DES_ALPHA;ALPHA;S1SLC;12.05.2022;POST3;PH0001
34;PH0001__S1SLC__2022-05-12__DES_ANISOTROPY;ANISOTROPY;S1SLC;12.05.2022;POST3;PH0001
35;PH0001__S1SLC__2022-05-12__DES_ENTROPY;ENTROPY;S1SLC;12.05.2022;POST3;PH0001
36;PH0001__S1SLC__2022-05-12__DES_gVH;gVH;S1SLC;12.05.2022;POST3;PH0001
37;PH0001__S1SLC__2022-05-12__DES_gVV;gVV;S1SLC;12.05.2022;POST3;PH0001
38;PH0001__S2L2A__2022-03-12__B02;B02;S2L2A;12.03.2022;PRE1;PH0001
39;PH0001__S2L2A__2022-03-12__B03;B03;S2L2A;12.03.2022;PRE1;PH0001
40;PH0001__S2L2A__2022-03-12__B04;B04;S2L2A;12.03.2022;PRE1;PH0001
41;PH0001__S2L2A__2022-03-12__B05;B05;S2L2A;12.03.2022;PRE1;PH0001
42;PH0001__S2L2A__2022-03-12__B06;B06;S2L2A;12.03.2022;PRE1;PH0001
43;PH0001__S2L2A__2022-03-12__B07;B07;S2L2A;12.03.2022;PRE1;PH0001
44;PH0001__S2L2A__2022-03-12__B08;B08;S2L2A;12.03.2022;PRE1;PH0001
45;PH0001__S2L2A__2022-03-12__B11;B11;S2L2A;12.03.2022;PRE1;PH0001
46;PH0001__S2L2A__2022-03-12__B12;B12;S2L2A;12.03.2022;PRE1;PH0001
47;PH0001__S2L2A__2022-03-12__B8A;B8A;S2L2A;12.03.2022;PRE1;PH0001
48;PH0001__S2L2A__2022-03-12__NDVI;NDVI;S2L2A;12.03.2022;PRE1;PH0001
49;PH0001__S2L2A__2022-05-16__B02;B02;S2L2A;16.05.2022;POST1;PH0001
50;PH0001__S2L2A__2022-05-16__B03;B03;S2L2A;16.05.2022;POST1;PH0001
51;PH0001__S2L2A__2022-05-16__B04;B04;S2L2A;16.05.2022;POST1;PH0001
52;PH0001__S2L2A__2022-05-16__B05;B05;S2L2A;16.05.2022;POST1;PH0001
53;PH0001__S2L2A__2022-05-16__B06;B06;S2L2A;16.05.2022;POST1;PH0001
54;PH0001__S2L2A__2022-05-16__B07;B07;S2L2A;16.05.2022;POST1;PH0001
55;PH0001__S2L2A__2022-05-16__B08;B08;S2L2A;16.05.2022;POST1;PH0001
56;PH0001__S2L2A__2022-05-16__B11;B11;S2L2A;16.05.2022;POST1;PH0001
57;PH0001__S2L2A__2022-05-16__B12;B12;S2L2A;16.05.2022;POST1;PH0001
58;PH0001__S2L2A__2022-05-16__B8A;B8A;S2L2A;16.05.2022;POST1;PH0001
59;PH0001__S2L2A__2022-05-16__NDVI;NDVI;S2L2A;16.05.2022;POST1;PH0001
