;file_name;band;sensor;date;patch_type;EID
0;CA0002__CDEM__None__DEM;DEM;CDEM;;None;CA0002
1;CA0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;CA0002
2;CA0002__None__None__MASK;MASK;None;;None;CA0002
3;CA0002__S1SLC__2019-04-10_2019-04-22__ASC_COHVV;COHVV;S1SLC;22.04.2019;PRE2;CA0002
4;CA0002__S1SLC__2019-04-10__ASC_ALPHA;ALPHA;S1SLC;10.04.2019;PRE3;CA0002
5;CA0002__S1SLC__2019-04-10__ASC_ANISOTROPY;ANISOTROPY;S1SLC;10.04.2019;PRE3;CA0002
6;CA0002__S1SLC__2019-04-10__ASC_ENTROPY;ENTROPY;S1SLC;10.04.2019;PRE3;CA0002
7;CA0002__S1SLC__2019-04-10__ASC_gVH;gVH;S1SLC;10.04.2019;PRE3;CA0002
8;CA0002__S1SLC__2019-04-10__ASC_gVV;gVV;S1SLC;10.04.2019;PRE3;CA0002
9;CA0002__S1SLC__2019-04-22_2019-05-04__ASC_COHVV;COHVV;S1SLC;04.05.2019;PRE1;CA0002
10;CA0002__S1SLC__2019-04-22__ASC_ALPHA;ALPHA;S1SLC;22.04.2019;PRE2;CA0002
11;CA0002__S1SLC__2019-04-22__ASC_ANISOTROPY;ANISOTROPY;S1SLC;22.04.2019;PRE2;CA0002
12;CA0002__S1SLC__2019-04-22__ASC_ENTROPY;ENTROPY;S1SLC;22.04.2019;PRE2;CA0002
13;CA0002__S1SLC__2019-04-22__ASC_gVH;gVH;S1SLC;22.04.2019;PRE2;CA0002
14;CA0002__S1SLC__2019-04-22__ASC_gVV;gVV;S1SLC;22.04.2019;PRE2;CA0002
15;CA0002__S1SLC__2019-05-04_2019-05-16__ASC_COHVV;COHVV;S1SLC;16.05.2019;POST1;CA0002
16;CA0002__S1SLC__2019-05-04__ASC_ALPHA;ALPHA;S1SLC;04.05.2019;PRE1;CA0002
17;CA0002__S1SLC__2019-05-04__ASC_ANISOTROPY;ANISOTROPY;S1SLC;04.05.2019;PRE1;CA0002
18;CA0002__S1SLC__2019-05-04__ASC_ENTROPY;ENTROPY;S1SLC;04.05.2019;PRE1;CA0002
